unixtime,posx,posy,posz,velx,vely,velz,q1,q2,q3,q4
1775178957.122422,-90681936.2523,-34921398.50027,-20661958.07645,-9862.0,-11300.0,-6297.0,-0.000780712638516,-0.2680158615112,0.5320154428482,0.8031976222992
1775179018.050753,-91271261.94106,-35598733.67116,-21039224.96287,-9784.0,-11270.0,-6279.0,-0.007925590500236,-0.2666961848736,0.5308758616447,0.8043513894081
1775179078.592757,-91846281.51992,-36263030.61123,-21409170.01643,-9710.0,-11250.0,-6262.0,-0.01454647630453,-0.2654421925545,0.5291082859039,0.8058369755745
1775179139.197476,-92416938.4966,-36925605.18603,-21778097.99728,-9636.0,-11220.0,-6245.0,-0.02129514329135,-0.2639329731464,0.5268839001656,0.8076380491257
1775179199.49797,-92983312.92622,-37586468.73856,-22146016.63999,-9564.0,-11190.0,-6228.0,-0.02803002111614,-0.2619413733482,0.5244232416153,0.8096797466278
1775179259.558556,-93545482.53858,-38245632.66181,-22512933.65273,-9494.0,-11160.0,-6211.0,-0.03449281677604,-0.2598311603069,0.5217457413673,0.8118370771408
1775179319.603666,-94103522.88567,-38903108.43611,-22878856.75169,-9424.0,-11130.0,-6194.0,-0.04033737629652,-0.2573487460613,0.5181882381439,0.8146321177483
1775179379.518377,-94891013.73064,-39836253.65409,-23398114.48403,-9328.0,-11090.0,-6171.0,-0.04913935065269,-0.2537212967873,0.5130933523178,0.8185023069382
1775179439.672768,-95448607.45946,-40500747.47928,-23767814.42919,-9260.0,-11060.0,-6154.0,-0.05534005537629,-0.2508879899979,0.5090708136559,0.8214861750603
1775179499.594038,-96002183.1989,-41163536.47025,-24136513.69691,-9194.0,-11030.0,-6137.0,-0.06145628914237,-0.2478653043509,0.5049579143524,0.8245019316673
1775179559.579718,-96551811.04541,-41824632.80805,-24504220.23406,-9129.0,-11010.0,-6121.0,-0.06692293286324,-0.2448112517595,0.5048988461494,0.8250247836113
1775179619.655648,-97097559.16494,-42484048.6024,-24870941.95663,-9065.0,-10980.0,-6104.0,-0.07133952528238,-0.2419417947531,0.5071845054626,0.8240987062454
1775179679.612494,-97639493.88283,-43141795.89879,-25236686.67825,-9002.0,-10950.0,-6088.0,-0.07527922838926,-0.2384600937366,0.5097097754478,0.8232045769691
1775179739.569259,-98177679.7114,-43797886.67251,-25601462.09111,-8940.0,-10920.0,-6072.0,-0.07740599662066,-0.2361253350973,0.5102367997169,0.8233538269997
1775179799.543579,-98712179.49623,-44452333.13565,-25965276.15171,-8879.0,-10890.0,-6056.0,-0.0766279399395,-0.2356208413839,0.5094330906868,0.8240684866905
1775179859.581276,-99243054.41967,-45105147.28644,-26328136.58285,-8819.0,-10870.0,-6040.0,-0.07593667507172,-0.2348322570324,0.5076393485069,0.8254633545876
1775179919.51427,-99770364.03482,-45756341.15253,-26690051.01031,-8760.0,-10840.0,-6025.0,-0.0733983963728,-0.2338196188211,0.5111978054047,0.8237826228142
1775179979.500297,-100294166.3628,-46405926.58065,-27051027.04301,-8702.0,-10810.0,-6009.0,-0.07112430036068,-0.2320050299168,0.5163514614105,0.821277141571
1775180039.533925,-100814517.9465,-47053915.41348,-27411072.21256,-8645.0,-10790.0,-5993.0,-0.06712814420462,-0.2283809036016,0.5208013057709,0.8198182582855
1775180099.497755,-101331473.8151,-47700319.38748,-27770193.9231,-8589.0,-10760.0,-5978.0,-0.05813289433718,-0.2307184636593,0.5228886008263,0.8185212612152
1775180159.52162,-101845087.6876,-48345150.16519,-28128399.59652,-8533.0,-10730.0,-5963.0,-0.05041272565722,-0.237951695919,0.5202817320824,0.8186235427856
1775180219.544279,-102355411.8442,-48988419.14651,-28485696.49567,-8479.0,-10710.0,-5948.0,-0.04842504858971,-0.2683598101139,0.4968075156212,0.8239055275917
1775180279.460414,-102862497.4109,-49630138.37181,-28842091.83069,-8425.0,-10680.0,-5933.0,-0.03359469771385,-0.2977093160152,0.4921723902225,0.8173168897629
1775180339.457532,-103366394.408,-50270319.22855,-29197593.15495,-8373.0,-10660.0,-5918.0,-0.02822150662541,-0.2984532117844,0.4954783320427,0.8152486681938
1775180399.417177,-103867151.2896,-50908972.9672,-29552207.41473,-8321.0,-10630.0,-5903.0,-0.03115517832339,-0.2936042547226,0.502038359642,0.8128858208656
1775180459.475188,-104364815.4368,-51546110.87021,-29905941.58704,-8270.0,-10610.0,-5889.0,-0.03410845994949,-0.2888912856579,0.5077639222145,0.8108971714973
1775180519.475585,-104859433.1315,-52181744.14366,-30258802.65415,-8219.0,-10580.0,-5874.0,-0.03759844973683,-0.2841902971268,0.5130382180214,0.8090822100639
1775180579.394427,-105351049.5606,-52815883.90729,-30610797.51667,-8169.0,-10560.0,-5860.0,-0.04012887179852,-0.2798573672771,0.5171680450439,0.8078408241272
1775180639.483258,-105839708.8546,-53448541.17266,-30961933.02684,-8121.0,-10530.0,-5846.0,-0.04382941871881,-0.2743993699551,0.5204720497131,0.8073987960815
1775180699.482271,-106325454.12,-54079726.89494,-31312215.94866,-8072.0,-10510.0,-5831.0,-0.04806474968791,-0.2687992453575,0.5230950713158,0.8073464035988
1775180759.479483,-106808327.439,-54709451.88694,-31661652.9745,-8025.0,-10480.0,-5817.0,-0.05238092318177,-0.260657787323,0.5256066322327,0.8081159591675
1775180820.35027,-107296347.5527,-55348186.77755,-32016054.06801,-7977.0,-10460.0,-5803.0,-0.05637631565332,-0.2543981075287,0.5267629027367,0.8090884685516
1775180880.407422,-107773553.249,-55974998.5203,-32363805.23767,-7931.0,-10440.0,-5789.0,-0.06072569265962,-0.2478783130646,0.5271759033203,0.8105271458626
1775180941.387349,-108255893.425,-56610793.51953,-32716505.86036,-7885.0,-10410.0,-5775.0,-0.06502670049667,-0.2414779067039,0.5270417332649,0.8122111558914
1775181001.410106,-108727591.2759,-57234734.91228,-33062597.54094,-7840.0,-10390.0,-5762.0,-0.06906938552856,-0.2338015288115,0.5263823270798,0.8145476579666
1775181062.337328,-109204410.2393,-57867633.20302,-33413624.1514,-7795.0,-10360.0,-5748.0,-0.06773257255554,-0.2307143509388,0.5232853293419,0.8175302147865
1775181122.35672,-109670752.8527,-58488746.31531,-33758082.05744,-7751.0,-10340.0,-5735.0,-0.06512180715799,-0.2285939902067,0.5197371244431,0.8205956816673
1775181182.450634,-110134494.544,-59108472.33524,-34101739.24148,-7708.0,-10320.0,-5721.0,-0.06208217144012,-0.2263033092022,0.5151979923248,0.8243201375008
1775181243.358898,-110603335.7939,-59737116.37389,-34450309.98829,-7665.0,-10290.0,-5708.0,-0.0594569966197,-0.2230464816093,0.5105226635933,0.8283005356789
